"Codigo","Nome","Tipo","Descricao","Peso","Economia","Limite","Raridade","Mercado","Unico","Excluivel","Imagem","ImagemExiste","ReferenciasLua","Gerado"
"a_c_cat_01","Gato","Consumível","","2.5","","","rare","true","false","true","a_c_cat_01.png","true","3","false"
"a_c_husky","Husky","Consumível","","2.5","","","rare","true","false","true","a_c_husky.png","true","3","false"
"a_c_poodle","Poodle","Consumível","","2.5","","","rare","true","false","true","a_c_poodle.png","true","3","false"
"a_c_pug","Pug","Consumível","","2.5","","","rare","true","false","true","a_c_pug.png","true","3","false"
"a_c_retriever","Retriever","Consumível","","2.5","","","rare","true","false","true","a_c_retriever.png","true","3","false"
"a_c_rottweiler","Rottweiler","Consumível","","2.5","","","rare","true","false","true","a_c_rottweiler.png","true","3","false"
"a_c_shepherd","Shepherd","Consumível","","2.5","","","rare","true","false","true","a_c_shepherd.png","true","3","false"
"a_c_westy","Westy","Consumível","","2.5","","","rare","true","false","true","a_c_westy.png","true","3","false"
"acerolajuice","Suco de Acerola","Consumível","","0.75","125","3","","true","false","false","acerolajuice.png","true","2","false"
"acetone","Acetona","Comum","","0.25","55","","","false","false","false","acetone.png","true","5","false"
"adrenaline","Adrenalina","Comum","","0.25","4225","","","true","false","false","adrenaline.png","true","28","false"
"adrenalineplus","Adrenalina ++","Comum","Restaura o tempo ao ser ajudado com <common>Adrenalina</common>.","0.25","10000","","legendary","true","false","true","adrenaline.png","true","5","false"
"advtoolbox","Conjunto de Ferramentas Mestre","Consumível","Um arsenal versátil de ferramentas essenciais para todas as suas necessidades de reparo, com qualidade premium e variedade abrangente, este kit é seu parceiro e do seu veículos.","4.75","2775","2","common","false","false","false","advtoolbox.png","true","7","false"
"alcohol","Álcool","Comum","","0.55","45","","","false","false","false","alcohol.png","true","12","false"
"alliance","Aliança","Comum","","0","","","","true","false","false","alliance.png","true","5","false"
"alliance2","Aliança de Diamante","Comum","<epic>Este item não pode ser roubado.</epic> Uma aliança luxuosa cravejada com um <epic>diamante brilhante</epic>. Símbolo de compromisso eterno ou riqueza extrema.","0","","","legendary","true","false","true","alliance2.png","true","1","false"
"alliance3","Porta-Aliança de Diamante","Comum","<epic>Este item não pode ser roubado e, ao ser utilizado no alt + Relacionamento, gera dois itens que não podem ser roubados.</epic> Um pequeno estojo luxuoso, usado para guardar alianças de valor inestimável.","0","","","legendary","false","false","true","alliance3.png","true","1","false"
"aluminum","Alumínio","Comum","","0.045","10","","","false","false","false","aluminum.png","true","72","false"
"ammobox","Caixa de Munição","Consumível","Robusta e segura, projetada para armazenamento e transporte confiável de munições.","2.75","70000","","rare","true","true","false","ammobox.png","true","4","false"
"amphetamine","Seringa de Anfetamina","Comum","","0.25","325","","","true","false","false","amphetamine.png","true","4","false"
"analgesic","Analgésicos","Consumível","","0.25","175","","","true","false","false","analgesic.png","true","22","false"
"anchovy","Anchova","Comum","","0.5","50","","","true","false","false","anchovy.png","true","5","false"
"applejuice","Suco de Maça","Consumível","","0.75","125","3","","true","false","false","applejuice.png","true","2","false"
"applelove","Maça do Amor","Consumível","","0.55","35","3","","true","false","false","applelove.png","true","3","false"
"ATTACH_CROSSHAIR","Mira Holográfica","Attachs","","1","2725","","","true","false","false","attach_crosshair.png","true","4","false"
"ATTACH_FLASHLIGHT","Lanterna Tatica","Attachs","","1","2125","","","true","false","false","attach_flashlight.png","true","4","false"
"ATTACH_GRIP","Empunhadura","Attachs","","1","1725","","","true","false","false","attach_grip.png","true","2","false"
"ATTACH_MAGAZINE","Pente Estendido","Attachs","","1","2225","","","true","false","false","attach_magazine.png","true","4","false"
"ATTACH_SILENCER","Silenciador","Attachs","","1","4725","","","true","false","false","attach_silencer.png","true","1","false"
"axe","Machadinha","Comum","Ferramenta robusta e confiável para os desafios mais exigentes, construído com materiais de alta qualidade e design ergonômico, proporciona precisão e potência em cada golpe, ideal para cortar lenha, realizar trabalhos de construção ou aventuras ao ar livre, é o companheiro perfeito para qualquer tarefa que exija força e eficiência.","2.75","1225","","","true","false","false","axe.png","true","2","false"
"axeplus","Machadinha ++","Comum","Ferramenta robusta e confiável para os desafios mais exigentes, construído com materiais de alta qualidade e design ergonômico, proporciona precisão e potência em cada golpe, ideal para cortar lenha, realizar trabalhos de construção ou aventuras ao ar livre, é o companheiro perfeito para qualquer tarefa que exija força e eficiência.","2.75","50000","","legendary","false","false","true","axe.png","true","1","false"
"backpackg","Mochila Grande","Comum","Espaçosa e funcional, projetada para transportar muitos itens de forma confortável, com alças ajustáveis e compartimentos organizados para facilitar o armazenamento.<br>Aumenta o peso de sua mochila em <epic>100Kg</epic>.","2.5","200000","","legendary","true","false","true","backpackg.png","true","1","false"
"backpackm","Mochila Média","Comum","Versátil e compacta, ideal para o dia a dia, oferecendo espaço suficiente para itens essenciais sem ser volumosa, com alças confortáveis para fácil transporte.<br>Aumenta o peso de sua mochila em <epic>75Kg</epic>.","2.5","150000","","epic","true","false","true","backpackm.png","true","1","false"
"backpackp","Mochila Pequena","Comum","Compacta e leve, perfeita para carregar o essencial de forma prática, com alças ajustáveis para conforto ao transportar.<br>Aumenta o peso de sua mochila em <epic>50Kg</epic>.","2.5","100000","","rare","true","false","true","backpackp.png","true","2","false"
"bait","Isca","Comum","","0.25","5","","","true","false","false","bait.png","true","9","false"
"ballisticplate","Placa Balística","Consumível","","3.75","925","","","true","false","false","ballisticplate.png","true","3","false"
"bananajuice","Suco de Banana","Consumível","","0.75","125","3","","true","false","false","bananajuice.png","true","2","false"
"bandage","Bandagem","Consumível","","0.25","275","3","","true","false","false","bandage.png","true","17","false"
"banned_reduce","Redução de Sentença","Consumível","Reduz <b>1 minutos</b> do tempo restante.","0","","","common","true","false","true","banned_reduce.png","true","2","false"
"barbershop","Barbearia","Consumível","Define uma posição no mapa onde a <epic>Barbearia</epic> poderá ser acessada.","0","500000","","legendary","false","false","true","barbershop.png","true","29","false"
"barrier","Barreira","Consumível","","2.25","25","2","","true","false","false","barrier.png","true","2","false"
"batteryaa","Bateria AA","Comum","","0.15","225","","","false","false","false","batteryaa.png","true","6","false"
"batteryaaplus","Bateria AA+","Comum","","0.25","275","","","false","false","false","batteryaaplus.png","true","6","false"
"bauxite","Minério de Bauxita","Comum","","0.225","50","","","false","false","false","bauxite.png","true","2","false"
"binbag","Saco de Lixo","Comum","","10","0","1","","true","false","false","binbag.png","true","3","false"
"binoculars","Binóculos","Consumível","","1","425","","","false","false","false","binoculars.png","true","5","false"
"blocksignal","Bloqueador de Sinal","Consumível","","0.75","825","","","true","false","false","blocksignal.png","true","3","false"
"blue_essence","Essência Azul","Comum","Componente químico utilizado em experimentos, possui propriedades energéticas únicas que alimentam dispositivos experimentais, aprimoram armas modificadas ou são vendidas por um bom dinheiro.","0","","","","false","false","true","blue_essence.png","true","4","false"
"blueberryjuice","Suco de Blueberry","Consumível","","0.75","125","3","","true","false","false","blueberryjuice.png","true","2","false"
"blueprint_bench","Mesa de Aprendizado","Consumível","Mesa para aprendizado de produção.","7.25","65000","","epic","true","false","false","blueprint_bench.png","true","3","false"
"blueprint_fragment","Fragmento de Aprendizado","Comum","","0","","","","false","false","false","blueprint_fragment.png","true","9","false"
"boar1star","Javali","Comum","","2.25","275","","","true","false","false","box1star.png","true","1","false"
"boar2star","Javali","Comum","","2.25","300","","","true","false","false","box2star.png","true","1","false"
"boar3star","Javali","Comum","","2.25","325","","","true","false","false","box3star.png","true","1","false"
"buscopau","Buscopau","Consumível","Comprimido forte, indicado para casos de ferimentos mais serios.","0.15","245","5","","true","false","false","buscopau.png","true","2","false"
"c4","Explosivo C4","Comum","","1.25","1625","","","true","false","false","c4.png","true","1","false"
"camera","Câmera","Consumível","","1","425","","","false","false","false","camera.png","true","100","false"
"cappuccino","Cappuccino","Consumível","","0.65","100","3","","true","false","false","cappuccino.png","true","4","false"
"catfish","Peixe-Gato","Comum","","0.5","70","","","true","false","false","catfish.png","true","4","false"
"cellphone","Celular","Consumível","","0.75","725","","","false","false","false","cellphone.png","true","32","false"
"chalcopyrite","Calcopirita","Comum","","0.225","50","","","false","false","false","chalcopyrite.png","true","2","false"
"chestgroupg","Compartimento Militar","Consumível","Projetado para manter seus e de seu grupo, itens mais valiosos protegidos e sempre ao seu alcance, com capacidade máxima de <b>5.000kg</b>, ele combina segurança, praticidade e organização em um único espaço.<br><common>Ao posicionado não pode ser retirado.</common>","5.25","","","epic","false","true","true","chestgroup.png","true","3","false"
"chestgroupm","Compartimento Militar","Consumível","Projetado para manter seus e de seu grupo, itens mais valiosos protegidos e sempre ao seu alcance, com capacidade máxima de <b>2.500kg</b>, ele combina segurança, praticidade e organização em um único espaço.<br><common>Ao posicionado não pode ser retirado.</common>","5.25","","","rare","false","true","true","chestgroup.png","true","3","false"
"chestgroupp","Compartimento Militar","Consumível","Projetado para manter seus e de seu grupo, itens mais valiosos protegidos e sempre ao seu alcance, com capacidade máxima de <b>1.000kg</b>, ele combina segurança, praticidade e organização em um único espaço.<br><common>Ao posicionado não pode ser retirado.</common>","5.25","","","common","false","true","true","chestgroup.png","true","3","false"
"chocolate","Chocolate","Consumível","","0.15","20","4","","true","false","false","chocolate.png","true","8","false"
"cigarette","Maço de Cigarros","Consumível","","0.15","15","5","","false","false","false","cigarette.png","true","7","false"
"circuit","Circuito Eletrônico","Consumível","","0.75","4725","","","false","false","false","circuit.png","true","4","false"
"cocaine","Carreira de Cocaína","Consumível","","0.25","25","","","true","false","false","cocaine.png","true","12","false"
"codeine","Seringa de Codeína","Comum","","0.25","425","","","true","false","false","codeine.png","true","4","false"
"coffeecup","Copo de Café","Consumível","","0.25","20","2","","true","false","false","coffeecup.png","true","4","false"
"coffeemilk","Café com Leite","Consumível","","0.75","125","3","","true","false","false","coffeemilk.png","true","2","false"
"coilover","Suspensão Coilover","Consumível","Projetada para oferecer ajustabilidade extrema e resposta rápida em curvas fechadas e mudanças de direção rápidas, ajuda a maximizar a aderência nas curvas e proporcionar uma sensação precisa e controlada ao volante, fundamental para executar manobras precisas e controladas durante as competições de drift.","15.25","24725","","","true","false","false","coilover.png","true","2","false"
"cokesack","Pacote de Cocaína","Comum","","2.5","250","","","true","false","false","cokesack.png","true","2","false"
"cola","Cola","Consumível","","0.25","20","2","","true","false","false","cola.png","true","5","false"
"condensedmilk","Leite Condensado","Comum","","0.25","25","","","true","false","false","condensedmilk.png","true","1","false"
"cookies","Cookies","Consumível","","0.25","45","3","","true","false","false","cookies.png","true","4","false"
"copper","Cobre","Comum","","0.045","10","","","false","false","false","copper.png","true","74","false"
"copper_pure","Barra de Cobre","Comum","","0.5","42","","","true","false","false","copper_pure.png","true","4","false"
"coyote1star","Coyote","Comum","","2.25","275","","","true","false","false","box1star.png","true","1","false"
"coyote2star","Coyote","Comum","","2.25","300","","","true","false","false","box2star.png","true","1","false"
"coyote3star","Coyote","Comum","","2.25","325","","","true","false","false","box3star.png","true","1","false"
"crack","Seringa de Crack","Consumível","","0.25","375","","","true","false","false","crack.png","true","5","false"
"creditcard","Cartão de Crédito","Comum","","0.25","0","","","true","false","true","creditcard.png","true","0","false"
"cupcake","Cupcake","Consumível","","0.55","45","3","","true","false","false","cupcake.png","true","4","false"
"deer1star","Cervo","Comum","","2.25","275","","","true","false","false","box1star.png","true","2","false"
"deer2star","Cervo","Comum","","2.25","300","","","true","false","false","box2star.png","true","1","false"
"deer3star","Cervo","Comum","","2.25","325","","","true","false","false","box3star.png","true","1","false"
"diagram","Diagrama","Comum","Aumenta <common>10Kg</common> no peso do compartimento.","0.75","10000","","legendary","false","false","true","diagram.png","true","6","false"
"diamond_pure","Diamante Lapidado","Comum","","0.5","50","","","true","false","false","diamond_pure.png","true","4","false"
"dipiroca","Dipiroca","Consumível","Comprimido leve para dores e mal-estar. Recupera uma pequena quantidade de vida.","0.15","45","5","","true","false","false","dipiroca.png","true","2","false"
"dirtydollar","Dólar Sujo","Comum","","0","1","","","true","false","false","dirtydollar.png","true","26","false"
"dismantle","Cartão Ilegível","Consumível","","0","1225","","","true","false","false","dismantle.png","true","13","false"
"dogtag","Plaqueta de Identificação","Comum","","0.025","0","","","true","false","false","dogtag.png","true","0","false"
"dollar","Dólar","Comum","","0","1","","","true","false","false","dollar.png","true","56","false"
